Date,Category,Amount,Description
2025-01-05,Food,850.00,Weekly groceries
2025-01-08,Transport,200.00,Metro card recharge
2025-01-10,Entertainment,499.00,Netflix subscription
2025-01-12,Food,320.00,Restaurant lunch
2025-01-15,Shopping,2500.00,Winter jacket
2025-01-18,Health,600.00,Pharmacy — vitamins
2025-01-20,Food,150.00,Coffee and snacks
2025-01-22,Utilities,1200.00,Electricity bill
2025-01-25,Transport,350.00,Ola cab — airport
2025-01-28,Education,999.00,Udemy course
2025-02-02,Food,780.00,Weekly groceries
2025-02-05,Entertainment,299.00,Spotify subscription
2025-02-08,Health,1500.00,Doctor consultation
2025-02-10,Transport,180.00,Bus pass
2025-02-14,Shopping,3200.00,Valentine's gift
2025-02-17,Food,420.00,Dinner with friends
2025-02-20,Utilities,900.00,Water and internet bill
2025-02-23,Education,1499.00,Python book — Amazon
2025-02-26,Food,210.00,Swiggy order
2025-02-28,Transport,220.00,Petrol
2025-03-01,Food,900.00,Monthly grocery run
2025-03-04,Health,750.00,Gym membership
2025-03-07,Entertainment,649.00,Amazon Prime renewal
2025-03-10,Shopping,1100.00,Shoes
2025-03-14,Food,380.00,Brunch outing
2025-03-18,Transport,300.00,Metro card recharge
2025-03-22,Utilities,1350.00,Electricity and gas
2025-03-25,Education,2499.00,Online certification
2025-03-28,Food,175.00,Evening snacks
2025-03-31,Other,500.00,Miscellaneous
2026-03-07,Food,100.00,Sandwich
2026-03-08,Transport,100.00,Uber
2026-02-01,Food,700.00,Sushi
2025-05-28,Shopping,69.00,Drinks
2026-01-17,Transport,55.00,Metro
